datetime,temperature,humidity,wind_speed,visibility,cloud_cover,weather,city
2025-06-07T18:00:00Z,20.2,95,1.08,10000,83,NA,"Seoul,KR"
2025-06-07T21:00:00Z,19.77,91,1.37,10000,88,NA,"Seoul,KR"
NA,24.54,67,1.29,10000,87,NA,"Seoul,KR"
2025-06-08T03:00:00Z,26.97,41,2.4,10000,92,NA,"Seoul,KR"
2025-06-08T06:00:00Z,30.2,34,4.69,10000,80,NA,"Seoul,KR"
2025-06-08T09:00:00Z,27.17,46,4.67,10000,6,NA,"Seoul,KR"
2025-06-08T12:00:00Z,23.48,60,2.49,10000,46,NA,"Seoul,KR"
2025-06-08T15:00:00Z,21.82,67,1.39,10000,89,NA,"Seoul,KR"
2025-06-08T18:00:00Z,20.31,78,1.28,10000,97,NA,"Seoul,KR"
2025-06-08T21:00:00Z,19.79,83,0.86,10000,15,NA,"Seoul,KR"
NA,23.92,61,1.49,10000,36,NA,"Seoul,KR"
2025-06-09T03:00:00Z,28.93,36,1.79,10000,93,NA,"Seoul,KR"
2025-06-09T06:00:00Z,29.77,29,3.97,10000,97,NA,"Seoul,KR"
2025-06-09T09:00:00Z,27.27,37,3.88,10000,100,NA,"Seoul,KR"
2025-06-09T12:00:00Z,23.34,54,1.86,10000,100,NA,"Seoul,KR"
2025-06-09T15:00:00Z,21.37,64,2.31,10000,100,NA,"Seoul,KR"
2025-06-09T18:00:00Z,19.66,72,1.5,10000,91,NA,"Seoul,KR"
2025-06-09T21:00:00Z,19.13,76,1.6,10000,60,NA,"Seoul,KR"
NA,22.32,68,3.29,10000,79,NA,"Seoul,KR"
2025-06-10T03:00:00Z,24.27,60,5.41,10000,97,NA,"Seoul,KR"
2025-06-10T06:00:00Z,25.77,49,5.81,10000,93,NA,"Seoul,KR"
2025-06-10T09:00:00Z,24.84,34,5.75,10000,100,NA,"Seoul,KR"
2025-06-10T12:00:00Z,21.91,49,3.24,10000,99,NA,"Seoul,KR"
2025-06-10T15:00:00Z,19.82,58,2.26,10000,23,NA,"Seoul,KR"
2025-06-10T18:00:00Z,18.78,62,1.45,10000,9,NA,"Seoul,KR"
2025-06-10T21:00:00Z,18.28,67,0.65,10000,0,NA,"Seoul,KR"
NA,24,39,2.18,10000,0,NA,"Seoul,KR"
2025-06-11T03:00:00Z,28.4,26,5.46,10000,0,NA,"Seoul,KR"
2025-06-11T06:00:00Z,30.31,23,4.5,10000,6,NA,"Seoul,KR"
2025-06-11T09:00:00Z,26.94,32,4.32,10000,40,NA,"Seoul,KR"
2025-06-11T12:00:00Z,23.39,44,2.08,10000,51,NA,"Seoul,KR"
2025-06-11T15:00:00Z,21.81,51,1.17,10000,93,NA,"Seoul,KR"
2025-06-11T18:00:00Z,21.07,50,0.92,10000,96,NA,"Seoul,KR"
2025-06-11T21:00:00Z,20.28,50,1.12,10000,92,NA,"Seoul,KR"
NA,25.41,35,1.41,10000,95,NA,"Seoul,KR"
2025-06-12T03:00:00Z,28.94,27,2.08,10000,98,NA,"Seoul,KR"
2025-06-12T06:00:00Z,29.91,27,4.16,10000,99,NA,"Seoul,KR"
2025-06-12T09:00:00Z,24.7,44,3.2,10000,100,NA,"Seoul,KR"
2025-06-12T12:00:00Z,23.26,50,1.03,10000,100,NA,"Seoul,KR"
2025-06-12T15:00:00Z,22.8,52,0.42,10000,100,NA,"Seoul,KR"
2025-06-07T18:00:00Z,22.75,81,1.69,10000,40,NA,"New York,US"
2025-06-07T21:00:00Z,22.61,82,1.61,10000,59,NA,"New York,US"
NA,22.66,81,3.5,10000,59,NA,"New York,US"
2025-06-08T03:00:00Z,19.43,92,3.55,10000,74,NA,"New York,US"
2025-06-08T06:00:00Z,18.56,91,2.56,10000,87,NA,"New York,US"
2025-06-08T09:00:00Z,18.21,87,2.56,10000,100,NA,"New York,US"
2025-06-08T12:00:00Z,19.54,77,3.5,10000,100,NA,"New York,US"
2025-06-08T15:00:00Z,22.08,60,4.37,10000,100,NA,"New York,US"
2025-06-08T18:00:00Z,23.34,57,6.06,10000,100,NA,"New York,US"
2025-06-08T21:00:00Z,22.38,59,6.38,10000,84,NA,"New York,US"
NA,19.75,69,5.41,10000,79,NA,"New York,US"
2025-06-09T03:00:00Z,18.63,73,4.89,10000,97,NA,"New York,US"
2025-06-09T06:00:00Z,17.49,78,3.86,10000,81,NA,"New York,US"
2025-06-09T09:00:00Z,16.91,81,3.95,10000,79,NA,"New York,US"
2025-06-09T12:00:00Z,17.59,77,2.55,10000,88,NA,"New York,US"
2025-06-09T15:00:00Z,21.55,62,2.06,10000,89,NA,"New York,US"
2025-06-09T18:00:00Z,21.91,64,5.12,10000,80,NA,"New York,US"
2025-06-09T21:00:00Z,20.71,71,4.92,10000,77,NA,"New York,US"
NA,18.32,84,4.92,10000,50,NA,"New York,US"
