city,country,lat,lng,population
Tokyo,Japan,35.687,139.7495,37785000
Jakarta,Indonesia,-6.175,106.8275,33756000
Delhi,India,28.61,77.23,32226000
Guangzhou,China,23.13,113.26,26940000
Mumbai,India,19.0761,72.8775,24973000
Manila,Philippines,14.5958,120.9772,24922000
Shanghai,China,31.2286,121.4747,24073000
São Paulo,Brazil,-23.5504,-46.6339,23086000
Seoul,"Korea, South",37.5667,126.9833,23016000
Mexico City,Mexico,19.4333,-99.1333,21804000
Kolkāta,India,22.5675,88.37,21747000
Cairo,Egypt,30.0444,31.2358,20296000
Karachi,Pakistan,24.86,67.01,20249000
Dhaka,Bangladesh,23.7289,90.3944,19134000
New York,United States,40.6943,-73.9249,18832416
Beijing,China,39.9067,116.3975,18522000
Bangkok,Thailand,13.7525,100.4942,18007000
Shenzhen,China,22.5415,114.0596,17619000
Moscow,Russia,55.7506,37.6175,17332000
Buenos Aires,Argentina,-34.6036,-58.3814,16710000
Lagos,Nigeria,6.455,3.3841,16637000
Bangalore,India,12.9789,77.5917,15386000
Ho Chi Minh City,Vietnam,10.7756,106.7019,15136000
Ōsaka,Japan,34.6939,135.5022,15126000
Chengdu,China,30.66,104.0633,14645000
Istanbul,Turkey,41.0136,28.955,14441000
Tehran,Iran,35.6889,51.3897,14148000
Kinshasa,Congo (Kinshasa),-4.3219,15.3119,12836000
Rio de Janeiro,Brazil,-22.9111,-43.2056,12592000
Chennai,India,13.0825,80.275,12395000
Xi’an,China,34.2611,108.9422,12328000
Lahore,Pakistan,31.5497,74.3436,12306000
Chongqing,China,29.5637,106.5504,12135000
Los Angeles,United States,34.1141,-118.4068,11885717
London,United Kingdom,51.5072,-0.1275,11262000
Paris,France,48.8567,2.3522,11060000
Linyi,China,35.1038,118.3564,10820000
Dongguan,China,23.021,113.752,10646000
Baoding,China,38.874,115.464,10546831
Hyderābād,India,17.3617,78.4747,10494000
Tianjin,China,39.1336,117.2054,10368000
Lima,Peru,-12.06,-77.0375,10320000
Wuhan,China,30.5934,114.3046,10251000
Nanyang,China,32.9902,112.5285,9577771
Hangzhou,China,30.267,120.153,9523000
Nagoya,Japan,35.1833,136.9,9197000
Luanda,Angola,-8.8383,13.2344,9051000
Foshan,China,23.0214,113.1216,9042500
Kuala Lumpur,Malaysia,3.1686,101.698,8911000
Zhoukou,China,33.6367,114.7014,8677800
Tongshan,China,34.261,117.1859,8669000
Hanoi,Vietnam,21,105.85,8587100
Chicago,United States,41.8375,-87.6866,8489066
Nanjing,China,32.0608,118.7789,8422000
Heze,China,35.2343,115.4796,8287693
Pune,India,18.5203,73.8567,8231000
Jining,China,35.4151,116.5871,8081905
Bogotá,Colombia,4.7111,-74.0722,8034649
Ahmedabad,India,23.0225,72.5714,8009000
Shenyang,China,41.8025,123.4281,7964000
Dar es Salaam,Tanzania,-6.8161,39.2803,7962000
Khartoum,Sudan,15.6031,32.5265,7869000
Johannesburg,South Africa,-26.2044,28.0456,7860781
Fuyang,China,32.89,115.814,7599913
Hong Kong,Hong Kong,22.3,114.2,7450000
Ganzhou,China,25.831,114.933,7396873
Shangqiu,China,34.415,115.656,7325300
Cangzhou,China,38.3047,116.8387,7300783
Riyadh,Saudi Arabia,24.65,46.71,7237000
Santiago,Chile,-33.4372,-70.6506,7171000
Zhumadian,China,33.014,114.022,7008427
Zhanjiang,China,21.2701,110.3575,6981236
Rangoon,Burma,16.795,96.16,6874000
Yancheng,China,33.35,120.1569,6709629
Bijie,China,27.284,105.292,6686100
Xingtai,China,37.0717,114.5048,6645766
Hengyang,China,26.894,112.572,6645243
Shaoyang,China,27.2395,111.4679,6563520
Surabaya,Indonesia,-7.2458,112.7378,6556000
Sūrat,India,21.205,72.84,6538000
Quanzhou,China,24.8744,118.6757,6480000
Shangrao,China,28.4551,117.9431,6435300
Zunyi,China,27.722,107.031,6270700
Madrid,Spain,40.4169,-3.7033,6211000
Baghdad,Iraq,33.3153,44.3661,6183000
Maoming,China,21.6627,110.9255,6174050
Miami,United States,25.784,-80.2101,6113982
Xinyang,China,32.149,114.091,6109106
Houston,United States,29.786,-95.3885,6046392
Singapore,Singapore,1.3,103.8,5983000
Prayagraj,India,25.4358,81.8464,5954391
Huanggang,China,30.4537,114.8724,5882719
Dalian,China,38.9,121.6,5871474
Ankara,Turkey,39.93,32.85,5864049
Dallas,United States,32.7935,-96.7667,5843632
Qingdao,China,36.0669,120.3827,5818255
Yulin,China,22.654,110.181,5796766
Liaocheng,China,36.4559,115.9852,5789863
Douala,Cameroon,4.05,9.7,5768400
Qujing,China,25.491,103.796,5765775
Nangandao,China,35.3036,113.9268,5708191
Addis Ababa,Ethiopia,9.03,38.74,5704000
Philadelphia,United States,40.0077,-75.1339,5696588
Toronto,Canada,43.7417,-79.3733,5647656
Zhengzhou,China,34.764,113.684,5621593
Nanchong,China,30.8372,106.1106,5607565
Jinan,China,36.6702,117.0207,5606374
Giza,Egypt,29.987,31.2118,5598402
Saint Petersburg,Russia,59.9375,30.3086,5597763
Jieyang,China,23.551,116.3727,5577814
Dezhou,China,37.436,116.359,5568235
Nairobi,Kenya,-1.2864,36.8172,5545000
Guadalajara,Mexico,20.6767,-103.3475,5525000
Tai’an,China,36.202,117.087,5472217
Dazhou,China,31.2093,107.4678,5385422
Belo Horizonte,Brazil,-19.9281,-43.9419,5328000
Suzhou,China,33.648,116.964,5324476
Monterrey,Mexico,25.6844,-100.3181,5324281
Yongzhou,China,26.42,111.613,5289824
Changde,China,29.031,111.699,5279102
Xiangyang,China,32.01,112.122,5260951
Atlanta,United States,33.7628,-84.422,5211164
Pudong,China,31.2347,121.5064,5187200
Washington,United States,38.9047,-77.0163,5146120
Zhaotong,China,27.338,103.717,5092611
Zhangzhou,China,24.513,117.647,5054328
Yueyang,China,29.3647,113.1309,5051922
Melbourne,Australia,-37.8142,144.9631,5031195
Yichun,China,27.816,114.417,5007702
Abidjan,Côte d’Ivoire,5.3364,-4.0267,4980000
Guilin,China,25.275,110.296,4931137
Pingdingshan,China,33.7666,113.1926,4904701
Alexandria,Egypt,31.1975,29.8925,4870000
Bozhou,China,33.8463,115.7786,4850657
Sydney,Australia,-33.8667,151.2,4840600
Barcelona,Spain,41.3833,2.1833,4800000
Yuncheng,China,35.0267,111.007,4774508
Cape Town,South Africa,-33.9253,18.4239,4770313
Changsha,China,28.228,112.939,4766296
Suqian,China,33.963,118.275,4719178
Jeddah,Saudi Arabia,21.5428,39.1728,4697000
Weinan,China,34.5206,109.471,4688744
Berlin,Germany,52.52,13.405,4679500
Chenzhou,China,25.77,113.016,4667134
Jiangmen,China,22.5789,113.0815,4630300
Mianyang,China,31.468,104.679,4613862
Jiujiang,China,29.661,115.954,4600276
Huaihua,China,27.5698,110.0016,4587594
Huanglongsi,China,34.795,114.345,4564900
Taizhou,China,32.4567,119.9229,4512762
Belāhi,India,26.4,86.25,4487379
Yibin,China,28.752,104.643,4471896
Ji’an,China,27.0912,114.9668,4469176
Yangzhou,China,32.3944,119.4128,4459760
Kunming,China,25.0464,102.7094,4422686
Changchun,China,43.897,125.326,4408154
Lu’an,China,31.736,116.52,4393699
Xinpu,China,34.5966,119.2214,4393482
Langfang,China,39.5383,116.6835,4358839
Boston,United States,42.3188,-71.0852,4355184
Ürümqi,China,43.8225,87.6125,4335017
Suzhou,China,31.3,120.6194,4330000
Guigang,China,23.112,109.599,4316262
Shantou,China,23.354,116.682,4312192
Jiangguanchi,China,34.037,113.852,4307488
Kabul,Afghanistan,34.5253,69.1783,4273156
Xiaoganzhan,China,30.918,113.957,4270371
Bamako,Mali,12.6458,-7.9922,4227569
Kano,Nigeria,12,8.5167,4224966
Luzhou,China,28.871,105.442,4218427
Hefei,China,31.8206,117.2273,4216940
Hengshui,China,37.739,115.669,4212933
Fortaleza,Brazil,-3.7275,-38.5275,4167996
Anqing,China,30.5318,117.1153,4165284
Zhangjiakou,China,40.769,114.886,4118908
Zhaoqing,China,23.05,112.4667,4113594
Shijiazhuang,China,38.0425,114.51,4098243
Ningbo,China,29.8603,121.6245,4087523
Qiqihar,China,47.3549,123.9182,4067489
Phoenix,United States,33.5722,-112.0892,4065338
Liuzhou,China,24.3278,109.4278,4041700
Chifeng,China,42.255,118.8825,4035967
Xiaoxita,China,30.692,111.287,4017607
Amman,Jordan,31.9497,35.9328,4007526
Linfen,China,36.088,111.519,3976481
Xianyang,China,34.3299,108.7088,3959842
Chuzhou,China,32.256,118.333,3937868
Kumasi,Ghana,6.7,-1.625,3903480
Zhuzhou,China,27.829,113.133,3902738
Taiyuan,China,37.8704,112.5497,3875053
Qingyuan,China,23.682,113.056,3874000
Meizhou,China,24.289,116.122,3873239
Yiyang,China,28.5549,112.356,3851564
Nanning,China,22.8167,108.3275,3837978
Harbin,China,45.7576,126.6409,3830000
Loudi,China,27.6998,111.9944,3826996
Abuja,Nigeria,9.0667,7.4833,3770000
Yokohama,Japan,35.4442,139.6381,3757630
Suihua,China,46.654,126.969,3756167
Binzhou,China,37.383,117.971,3748474
Zaozhuang,China,34.8109,117.3238,3729140
Detroit,United States,42.3834,-83.1024,3716929
Xiamen,China,24.4796,118.0889,3707090
Mashhad,Iran,36.3264,59.5433,3700000
Montréal,Canada,45.5089,-73.5617,3675219
Fuzhou,China,26.0743,119.2964,3671192
Wuhu,China,31.3526,118.4331,3644420
Medan,Indonesia,3.5894,98.6739,3632000
Yulinshi,China,38.2858,109.7341,3624750
Fuzhou,China,27.949,116.358,3614866
Wenzhou,China,27.9938,120.6993,3604446
Changzhou,China,31.811,119.974,3601079
Puyang,China,35.7627,115.0292,3598740
Nanchang,China,28.683,115.858,3576547
Baicheng,China,23.903,106.619,3571505
Seattle,United States,47.6211,-122.3244,3555253
Ibadan,Nigeria,7.3964,3.9167,3552000
Jiaozuo,China,35.2157,113.2419,3521078
Nādampālaiyam,India,11.0125,76.9714,3458045
Deyang,China,31.127,104.398,3456161
Busan,"Korea, South",35.18,129.075,3453198
Hechi,China,24.693,108.085,3417945
Tangshan,China,39.6294,118.1739,3399231
Lucknow,India,26.85,80.95,3382000
San Francisco,United States,37.7558,-122.4449,3364862
Boankra,Ghana,6.6919,-1.4051,3348000
Dubai,United Arab Emirates,25.2631,55.2972,3331420
Anshan,China,41.108,122.994,3325372
Guozhen,China,34.3609,107.1751,3321853
Baojishi,China,34.363,107.238,3321853
Qinzhou,China,21.981,108.654,3302238
Guiyang,China,26.647,106.63,3299724
Wuxi,China,31.5667,120.2833,3245179
Kannankulam,India,10.52,76.21,3243170
Caracas,Venezuela,10.4806,-66.9036,3242000
Kotla Qasim Khan,Pakistan,32.5833,73.75,3219375
Casablanca,Morocco,33.5333,-7.5833,3215935
Hanzhong,China,33.0664,107.0232,3211462
Shiyan,China,32.629,110.7987,3209004
Guang’an,China,30.4564,106.6326,3205476
Faisalabad,Pakistan,31.4167,73.0911,3203846
Changzhi,China,36.195,113.117,3180884
Tongren,China,27.7316,109.1895,3168800
Bengbu,China,32.917,117.389,3164467
Leshan,China,29.552,103.766,3160168
Santa Cruz de la Sierra,Bolivia,-17.7892,-63.1975,3151676
Neijiang,China,29.5802,105.058,3140678
Zhenjiang,China,32.188,119.424,3113384
Qinhuangdao,China,39.8882,119.5202,3107400
Bursa,Turkey,40.1833,29.05,3101833
Tashkent,Uzbekistan,41.3111,69.2797,3095498
Guayaquil,Ecuador,-2.19,-79.8875,3094420
Jaipur,India,26.9,75.8,3073350
Lanzhou,China,36.0606,103.8268,3067141
Ouagadougou,Burkina Faso,12.3686,-1.5275,3063271
Athens,Greece,37.9842,23.7281,3059764
San Diego,United States,32.8313,-117.1222,3057778
Guatemala City,Guatemala,14.6417,-90.5133,3014000
Kuwait City,Kuwait,29.3697,47.9783,2989000
Qincheng,China,34.5815,105.7248,2984659
İzmir,Turkey,38.42,27.14,2965900
Quezon City,Philippines,14.65,121.0475,2960048
Kyiv,Ukraine,50.45,30.5233,2952301
Kottārasshēri,India,10.775,76.651,2952254
Meishan,China,30.0771,103.8484,2950545
Incheon,"Korea, South",37.4833,126.6333,2936117
Ningde,China,26.6662,119.5477,2910000
Zhongshan,China,22.517,113.3925,2909633
Minneapolis,United States,44.9635,-93.2678,2906807
Tampa,United States,27.9945,-82.4447,2906035
Putian,China,25.4526,119.0078,2900000
Mbuji-Mayi,Congo (Kinshasa),-6.15,23.6,2892000
Tongliao,China,43.654,122.243,2873168
Chaoyang,China,41.571,120.453,2872857
Hohhot,China,40.842,111.749,2866615
Pyongyang,"Korea, North",39.0167,125.7475,2863000
Shaoguan,China,24.811,113.597,2855131
Taichung,Taiwan,24.1439,120.6794,2850285
Cali,Colombia,3.4206,-76.5222,2838333
Heyuan,China,23.7443,114.7002,2837686
Wuzhou,China,23.4767,111.279,2820977
Pretoria,South Africa,-25.7461,28.1881,2818100
Suining,China,30.533,105.593,2814196
Omdurman,Sudan,15.6835,32.4629,2805396
Weihai,China,37.5133,122.1205,2804771
Rizhao,China,35.417,119.527,2801013
Malang,Indonesia,-7.98,112.62,2795209
Stuttgart,Germany,48.7775,9.18,2787724
Daqing,China,46.589,125.104,2781562
Rome,Italy,41.8931,12.4828,2748109
Kaohsiung,Taiwan,22.615,120.2975,2737660
Brooklyn,United States,40.6501,-73.9496,2736074
Xiangtan,China,27.8313,112.9454,2726181
Bazhou,China,31.868,106.748,2712894
Handan,China,36.601,114.487,2708015
Brisbane,Australia,-27.4678,153.0281,2706966
Jinzhou,China,41.129,121.148,2703853
Denver,United States,39.762,-104.8758,2691349
Xinzhou,China,38.416,112.734,2689668
Nanping,China,26.6418,118.1774,2680645
Gāzipura,Bangladesh,23.9234,90.3959,2674697
Shanwei,China,22.7872,115.3756,2672819
Maracaibo,Venezuela,10.6333,-71.6333,2658355
Chaozhou,China,23.658,116.622,2656600
Baotou,China,40.6213,109.9532,2650364
Longyan,China,25.076,117.017,2640000
Weifang,China,36.708,119.162,2636154
Huai’an,China,33.551,119.113,2632788
Zibo,China,36.8138,118.055,2631647
Attadappa,India,11.8689,75.3555,2615266
Munich,Germany,48.1375,11.575,2606021
Gulou,China,26.0865,119.298,2606000
Birmingham,United Kingdom,52.48,-1.9025,2590363
Valencia,Venezuela,10.1833,-68,2585202
Damascus,Syria,33.502,36.2981,2584771
Chattogram,Bangladesh,22.335,91.8325,2581643
Brazzaville,Congo (Brazzaville),-4.2667,15.2667,2557100
Yangjiang,China,21.857,111.983,2555600
Sanaa,Yemen,15.3483,44.2064,2545000
Barmhān Kalān,India,19.1972,72.9722,2537000
