dt_txt,main.temp,main.humidity,wind.speed,visibility,clouds.all,weather,city
2025-06-07 18:00:00,20.2,95,1.08,10000,83,,"Seoul,KR"
2025-06-07 21:00:00,19.77,91,1.37,10000,88,,"Seoul,KR"
2025-06-08 00:00:00,24.54,67,1.29,10000,87,,"Seoul,KR"
2025-06-08 03:00:00,26.97,41,2.4,10000,92,,"Seoul,KR"
2025-06-08 06:00:00,30.2,34,4.69,10000,80,,"Seoul,KR"
2025-06-08 09:00:00,27.17,46,4.67,10000,6,,"Seoul,KR"
2025-06-08 12:00:00,23.48,60,2.49,10000,46,,"Seoul,KR"
2025-06-08 15:00:00,21.82,67,1.39,10000,89,,"Seoul,KR"
2025-06-08 18:00:00,20.31,78,1.28,10000,97,,"Seoul,KR"
2025-06-08 21:00:00,19.79,83,0.86,10000,15,,"Seoul,KR"
2025-06-09 00:00:00,23.92,61,1.49,10000,36,,"Seoul,KR"
2025-06-09 03:00:00,28.93,36,1.79,10000,93,,"Seoul,KR"
2025-06-09 06:00:00,29.77,29,3.97,10000,97,,"Seoul,KR"
2025-06-09 09:00:00,27.27,37,3.88,10000,100,,"Seoul,KR"
2025-06-09 12:00:00,23.34,54,1.86,10000,100,,"Seoul,KR"
2025-06-09 15:00:00,21.37,64,2.31,10000,100,,"Seoul,KR"
2025-06-09 18:00:00,19.66,72,1.5,10000,91,,"Seoul,KR"
2025-06-09 21:00:00,19.13,76,1.6,10000,60,,"Seoul,KR"
2025-06-10 00:00:00,22.32,68,3.29,10000,79,,"Seoul,KR"
2025-06-10 03:00:00,24.27,60,5.41,10000,97,,"Seoul,KR"
2025-06-10 06:00:00,25.77,49,5.81,10000,93,,"Seoul,KR"
2025-06-10 09:00:00,24.84,34,5.75,10000,100,,"Seoul,KR"
2025-06-10 12:00:00,21.91,49,3.24,10000,99,,"Seoul,KR"
2025-06-10 15:00:00,19.82,58,2.26,10000,23,,"Seoul,KR"
2025-06-10 18:00:00,18.78,62,1.45,10000,9,,"Seoul,KR"
2025-06-10 21:00:00,18.28,67,0.65,10000,0,,"Seoul,KR"
2025-06-11 00:00:00,24,39,2.18,10000,0,,"Seoul,KR"
2025-06-11 03:00:00,28.4,26,5.46,10000,0,,"Seoul,KR"
2025-06-11 06:00:00,30.31,23,4.5,10000,6,,"Seoul,KR"
2025-06-11 09:00:00,26.94,32,4.32,10000,40,,"Seoul,KR"
2025-06-11 12:00:00,23.39,44,2.08,10000,51,,"Seoul,KR"
2025-06-11 15:00:00,21.81,51,1.17,10000,93,,"Seoul,KR"
2025-06-11 18:00:00,21.07,50,0.92,10000,96,,"Seoul,KR"
2025-06-11 21:00:00,20.28,50,1.12,10000,92,,"Seoul,KR"
2025-06-12 00:00:00,25.41,35,1.41,10000,95,,"Seoul,KR"
2025-06-12 03:00:00,28.94,27,2.08,10000,98,,"Seoul,KR"
2025-06-12 06:00:00,29.91,27,4.16,10000,99,,"Seoul,KR"
2025-06-12 09:00:00,24.7,44,3.2,10000,100,,"Seoul,KR"
2025-06-12 12:00:00,23.26,50,1.03,10000,100,,"Seoul,KR"
2025-06-12 15:00:00,22.8,52,0.42,10000,100,,"Seoul,KR"
2025-06-07 18:00:00,22.75,81,1.69,10000,40,,"New York,US"
2025-06-07 21:00:00,22.61,82,1.61,10000,59,,"New York,US"
2025-06-08 00:00:00,22.66,81,3.5,10000,59,,"New York,US"
2025-06-08 03:00:00,19.43,92,3.55,10000,74,,"New York,US"
2025-06-08 06:00:00,18.56,91,2.56,10000,87,,"New York,US"
2025-06-08 09:00:00,18.21,87,2.56,10000,100,,"New York,US"
2025-06-08 12:00:00,19.54,77,3.5,10000,100,,"New York,US"
2025-06-08 15:00:00,22.08,60,4.37,10000,100,,"New York,US"
2025-06-08 18:00:00,23.34,57,6.06,10000,100,,"New York,US"
2025-06-08 21:00:00,22.38,59,6.38,10000,84,,"New York,US"
2025-06-09 00:00:00,19.75,69,5.41,10000,79,,"New York,US"
